caller_id,caller_type,callee_id,started_at,duration
+263 498 495 0617,people,+48 851 232 2656,2018-06-22T02:07:31.674,996
+62 429 757 5087,people,+506 708 178 6852,2018-07-11T04:48:12.500,2579
+86 262 669 5847,people,+32 331 499 7500,2018-08-18T08:09:18.478,111
+351 699 781 7790,people,+212 123 830 9119,2018-07-03T18:47:50.713,813
+52 345 844 0838,people,+33 739 275 6004,2018-08-24T18:07:46.005,3056
+33 454 926 8596,people,+86 976 128 0131,2018-06-15T03:32:22.088,69
+66 406 272 0080,customers,+389 785 553 2178,2018-09-04T00:21:02.020,4584
+81 308 988 7153,people,+351 478 892 3904,2018-06-05T04:56:14.213,98
+81 153 962 4648,people,+62 917 766 2299,2018-08-24T05:40:42.711,2910
+98 238 641 5078,people,+86 696 763 5271,2018-08-30T15:34:57.552,89
+62 421 486 9194,people,+86 689 952 8046,2018-08-05T15:22:12.485,58
+86 521 724 9687,people,+86 969 120 1043,2018-09-02T11:22:12.365,137
+62 441 776 5105,people,+7 552 196 4096,2018-08-20T20:02:01.504,136
+7 235 325 7495,people,+57 555 972 0633,2018-08-08T06:05:47.706,98
+49 686 145 1656,people,+504 620 295 2525,2018-06-09T19:44:10.119,2485
+55 125 114 0729,customers,+55 595 171 0583,2018-07-14T06:52:40.188,4533
+62 235 664 6205,people,+998 677 789 7127,2018-06-15T06:32:47.525,180
+351 149 297 1404,customers,+54 890 522 5284,2018-07-23T23:49:06.279,6970
+261 860 539 4754,customers,+62 728 538 7442,2018-06-19T03:39:32.142,1888
+597 769 358 0569,people,+33 614 339 0298,2018-08-06T16:53:17.752,162
+1 253 601 5208,customers,+62 362 318 0581,2018-07-06T09:33:58.959,8425
+86 467 545 3578,people,+86 521 430 5953,2018-08-27T09:15:37.435,579
+48 708 591 4609,people,+62 533 266 3426,2018-07-09T17:55:30.114,236
+66 615 504 8426,customers,+62 441 776 5105,2018-08-03T10:20:25.874,2171
+63 815 962 6097,people,+234 182 258 2664,2018-08-24T21:15:05.329,113
+62 477 203 1324,people,+86 921 547 9004,2018-08-29T08:08:50.765,1902
+58 107 155 8233,people,+63 536 683 3262,2018-06-14T06:56:25.570,13
+55 316 423 7951,people,+86 701 269 0124,2018-07-12T21:25:07.896,966
+7 884 177 0089,people,+55 871 215 5403,2018-07-07T21:36:40.761,882
